title,authors,summary,comment,journal_ref,doi,entry_id,updated,published,primary_category,categories,links,pdf_url
f-Divergence constrained policy improvement,"['Boris Belousov', 'Jan Peters']","To ensure stability of learning, state-of-the-art generalized policy
iteration algorithms augment the policy improvement step with a trust region
constraint bounding the information loss. The size of the trust region is
commonly determined by the Kullback-Leibler (KL) divergence, which not only
captures the notion of distance well but also yields closed-form solutions. In
this paper, we consider a more general class of f-divergences and derive the
corresponding policy update rules. The generic solution is expressed through
the derivative of the convex conjugate function to f and includes the KL
solution as a special case. Within the class of f-divergences, we further focus
on a one-parameter family of $\alpha$-divergences to study effects of the
choice of divergence on policy improvement. Previously known as well as new
policy updates emerge for different values of $\alpha$. We show that every type
of policy update comes with a compatible policy evaluation resulting from the
chosen f-divergence. Interestingly, the mean-squared Bellman error minimization
is closely related to policy evaluation with the Pearson $\chi^2$-divergence
penalty, while the KL divergence results in the soft-max policy update and a
log-sum-exp critic. We carry out asymptotic analysis of the solutions for
different values of $\alpha$ and demonstrate the effects of using different
divergence functions on a multi-armed bandit problem and on common standard
reinforcement learning problems.",,,,http://arxiv.org/abs/1801.00056v2,2018-04-04 11:36:12+00:00,2017-12-29 23:07:26+00:00,cs.LG,"['cs.LG', 'cs.AI', 'stat.ML']","[arxiv.Result.Link('http://arxiv.org/abs/1801.00056v2', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/1801.00056v2', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/1801.00056v2
Parameter-free online learning via model selection,"['Dylan J. Foster', 'Satyen Kale', 'Mehryar Mohri', 'Karthik Sridharan']","We introduce an efficient algorithmic framework for model selection in online
learning, also known as parameter-free online learning. Departing from previous
work, which has focused on highly structured function classes such as nested
balls in Hilbert space, we propose a generic meta-algorithm framework that
achieves online model selection oracle inequalities under minimal structural
assumptions. We give the first computationally efficient parameter-free
algorithms that work in arbitrary Banach spaces under mild smoothness
assumptions; previous results applied only to Hilbert spaces. We further derive
new oracle inequalities for matrix classes, non-nested convex sets, and
$\mathbb{R}^{d}$ with generic regularizers. Finally, we generalize these
results by providing oracle inequalities for arbitrary non-linear classes in
the online supervised learning model. These results are all derived through a
unified meta-algorithm scheme using a novel ""multi-scale"" algorithm for
prediction with expert advice based on random playout, which may be of
independent interest.",NIPS 2017,,,http://arxiv.org/abs/1801.00101v2,2018-01-03 22:25:05+00:00,2017-12-30 08:21:19+00:00,cs.LG,"['cs.LG', 'stat.ML']","[arxiv.Result.Link('http://arxiv.org/abs/1801.00101v2', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/1801.00101v2', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/1801.00101v2
PAC-Bayesian Margin Bounds for Convolutional Neural Networks,"['Konstantinos Pitas', 'Mike Davies', 'Pierre Vandergheynst']","Recently the generalization error of deep neural networks has been analyzed
through the PAC-Bayesian framework, for the case of fully connected layers. We
adapt this approach to the convolutional setting.",arXiv admin note: text overlap with arXiv:1707.09564 by other authors,,,http://arxiv.org/abs/1801.00171v2,2018-04-20 09:27:47+00:00,2017-12-30 18:11:59+00:00,cs.LG,"['cs.LG', 'stat.ML']","[arxiv.Result.Link('http://arxiv.org/abs/1801.00171v2', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/1801.00171v2', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/1801.00171v2
Theory of Deep Learning III: explaining the non-overfitting puzzle,"['Tomaso Poggio', 'Kenji Kawaguchi', 'Qianli Liao', 'Brando Miranda', 'Lorenzo Rosasco', 'Xavier Boix', 'Jack Hidary', 'Hrushikesh Mhaskar']","A main puzzle of deep networks revolves around the absence of overfitting
despite large overparametrization and despite the large capacity demonstrated
by zero training error on randomly labeled data. In this note, we show that the
dynamics associated to gradient descent minimization of nonlinear networks is
topologically equivalent, near the asymptotically stable minima of the
empirical error, to linear gradient system in a quadratic potential with a
degenerate (for square loss) or almost degenerate (for logistic or crossentropy
loss) Hessian. The proposition depends on the qualitative theory of dynamical
systems and is supported by numerical results. Our main propositions extend to
deep nonlinear networks two properties of gradient descent for linear networks,
that have been recently established (1) to be key to their generalization
properties: 1. Gradient descent enforces a form of implicit regularization
controlled by the number of iterations, and asymptotically converges to the
minimum norm solution for appropriate initial conditions of gradient descent.
This implies that there is usually an optimum early stopping that avoids
overfitting of the loss. This property, valid for the square loss and many
other loss functions, is relevant especially for regression. 2. For
classification, the asymptotic convergence to the minimum norm solution implies
convergence to the maximum margin solution which guarantees good classification
error for ""low noise"" datasets. This property holds for loss functions such as
the logistic and cross-entropy loss independently of the initial conditions.
The robustness to overparametrization has suggestive implications for the
robustness of the architecture of deep convolutional networks with respect to
the curse of dimensionality.",,,,http://arxiv.org/abs/1801.00173v2,2018-01-16 08:54:12+00:00,2017-12-30 18:27:35+00:00,cs.LG,['cs.LG'],"[arxiv.Result.Link('http://arxiv.org/abs/1801.00173v2', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/1801.00173v2', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/1801.00173v2
Deep Reinforcement Learning for List-wise Recommendations,"['Xiangyu Zhao', 'Liang Zhang', 'Long Xia', 'Zhuoye Ding', 'Dawei Yin', 'Jiliang Tang']","Recommender systems play a crucial role in mitigating the problem of
information overload by suggesting users' personalized items or services. The
vast majority of traditional recommender systems consider the recommendation
procedure as a static process and make recommendations following a fixed
strategy. In this paper, we propose a novel recommender system with the
capability of continuously improving its strategies during the interactions
with users. We model the sequential interactions between users and a
recommender system as a Markov Decision Process (MDP) and leverage
Reinforcement Learning (RL) to automatically learn the optimal strategies via
recommending trial-and-error items and receiving reinforcements of these items
from users' feedbacks. In particular, we introduce an online user-agent
interacting environment simulator, which can pre-train and evaluate model
parameters offline before applying the model online. Moreover, we validate the
importance of list-wise recommendations during the interactions between users
and agent, and develop a novel approach to incorporate them into the proposed
framework LIRD for list-wide recommendations. The experimental results based on
a real-world e-commerce dataset demonstrate the effectiveness of the proposed
framework.",,,,http://arxiv.org/abs/1801.00209v3,2019-06-27 06:29:27+00:00,2017-12-30 23:30:36+00:00,cs.LG,"['cs.LG', 'stat.ML']","[arxiv.Result.Link('http://arxiv.org/abs/1801.00209v3', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/1801.00209v3', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/1801.00209v3
Game-theoretic Network Centrality: A Review,"['Mateusz K. Tarkowski', 'Tomasz P. Michalak', 'Talal Rahwan', 'Michael Wooldridge']","Game-theoretic centrality is a flexible and sophisticated approach to
identify the most important nodes in a network. It builds upon the methods from
cooperative game theory and network theory. The key idea is to treat nodes as
players in a cooperative game, where the value of each coalition is determined
by certain graph-theoretic properties. Using solution concepts from cooperative
game theory, it is then possible to measure how responsible each node is for
the worth of the network.
  The literature on the topic is already quite large, and is scattered among
game-theoretic and computer science venues. We review the main game-theoretic
network centrality measures from both bodies of literature and organize them
into two categories: those that are more focused on the connectivity of nodes,
and those that are more focused on the synergies achieved by nodes in groups.
We present and explain each centrality, with a focus on algorithms and
complexity.",,,,http://arxiv.org/abs/1801.00218v1,2017-12-31 01:10:39+00:00,2017-12-31 01:10:39+00:00,cs.AI,"['cs.AI', 'cs.GT']","[arxiv.Result.Link('http://arxiv.org/abs/1801.00218v1', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/1801.00218v1', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/1801.00218v1
Using Deep Neural Network Approximate Bayesian Network,"['Jie Jia', 'Honggang Zhou', 'Yunchun Li']","We present a new method to approximate posterior probabilities of Bayesian
Network using Deep Neural Network. Experiment results on several public
Bayesian Network datasets shows that Deep Neural Network is capable of learning
joint probability distri- bution of Bayesian Network by learning from a few
observation and posterior probability distribution pairs with high accuracy.
Compared with traditional approximate method likelihood weighting sampling
algorithm, our method is much faster and gains higher accuracy in medium sized
Bayesian Network. Another advantage of our method is that our method can be
parallelled much easier in GPU without extra effort. We also ex- plored the
connection between the accuracy of our model and the number of training
examples. The result shows that our model saturate as the number of training
examples grow and we don't need many training examples to get reasonably good
result. Another contribution of our work is that we have shown discriminative
model like Deep Neural Network can approximate generative model like Bayesian
Network.",,,,http://arxiv.org/abs/1801.00282v2,2018-01-11 05:36:36+00:00,2017-12-31 13:26:20+00:00,cs.LG,"['cs.LG', 'stat.ML']","[arxiv.Result.Link('http://arxiv.org/abs/1801.00282v2', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/1801.00282v2', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/1801.00282v2
Restricted Boltzmann Machines for Robust and Fast Latent Truth Discovery,"['Klaus Broelemann', 'Thomas Gottron', 'Gjergji Kasneci']","We address the problem of latent truth discovery, LTD for short, where the
goal is to discover the underlying true values of entity attributes in the
presence of noisy, conflicting or incomplete information. Despite a multitude
of algorithms to address the LTD problem that can be found in literature, only
little is known about their overall performance with respect to effectiveness
(in terms of truth discovery capabilities), efficiency and robustness. A
practical LTD approach should satisfy all these characteristics so that it can
be applied to heterogeneous datasets of varying quality and degrees of
cleanliness.
  We propose a novel algorithm for LTD that satisfies the above requirements.
The proposed model is based on Restricted Boltzmann Machines, thus coined
LTD-RBM. In extensive experiments on various heterogeneous and publicly
available datasets, LTD-RBM is superior to state-of-the-art LTD techniques in
terms of an overall consideration of effectiveness, efficiency and robustness.",,,,http://arxiv.org/abs/1801.00283v1,2017-12-31 13:26:51+00:00,2017-12-31 13:26:51+00:00,cs.LG,"['cs.LG', 'stat.ML']","[arxiv.Result.Link('http://arxiv.org/abs/1801.00283v1', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/1801.00283v1', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/1801.00283v1
ZOOpt: Toolbox for Derivative-Free Optimization,"['Yu-Ren Liu', 'Yi-Qi Hu', 'Hong Qian', 'Chao Qian', 'Yang Yu']","Recent advances in derivative-free optimization allow efficient approximation
of the global-optimal solutions of sophisticated functions, such as functions
with many local optima, non-differentiable and non-continuous functions. This
article describes the ZOOpt (Zeroth Order Optimization) toolbox that provides
efficient derivative-free solvers and is designed easy to use. ZOOpt provides
single-machine parallel optimization on the basis of python core and
multi-machine distributed optimization for time-consuming tasks by
incorporating with the Ray framework -- a famous platform for building
distributed applications. ZOOpt particularly focuses on optimization problems
in machine learning, addressing high-dimensional and noisy problems such as
hyper-parameter tuning and direct policy search. The toolbox is maintained
toward a ready-to-use tool in real-world machine learning tasks.","SCIENCE CHINA Information Sciences, 2022. Codes:
  https://github.com/polixir/ZOOpt","SCIENCE CHINA Information Sciences, 65: 207101, 2022",10.1007/s11432-021-3416-y,http://arxiv.org/abs/1801.00329v3,2022-06-02 02:10:52+00:00,2017-12-31 18:06:25+00:00,cs.LG,"['cs.LG', 'stat.ML']","[arxiv.Result.Link('http://dx.doi.org/10.1007/s11432-021-3416-y', title='doi', rel='related', content_type=None), arxiv.Result.Link('http://arxiv.org/abs/1801.00329v3', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/1801.00329v3', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/1801.00329v3
Users Constraints in Itemset Mining,"['Christian Bessiere', 'Nadjib Lazaar', 'Yahia Lebbah', 'Mehdi Maamar']","Discovering significant itemsets is one of the fundamental problems in data
mining. It has recently been shown that constraint programming is a flexible
way to tackle data mining tasks. With a constraint programming approach, we can
easily express and efficiently answer queries with users constraints on items.
However, in many practical cases it is possible that queries also express users
constraints on the dataset itself. For instance, asking for a particular
itemset in a particular part of the dataset. This paper presents a general
constraint programming model able to handle any kind of query on the items or
the dataset for itemset mining.",,,,http://arxiv.org/abs/1801.00345v2,2018-02-08 16:21:54+00:00,2017-12-31 19:55:52+00:00,cs.AI,"['cs.AI', 'cs.DB']","[arxiv.Result.Link('http://arxiv.org/abs/1801.00345v2', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/1801.00345v2', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/1801.00345v2
SenseNet: 3D Objects Database and Tactile Simulator,['Jason Toy'],"The majority of artificial intelligence research, as it relates from which to
biological senses has been focused on vision. The recent explosion of machine
learning and in particular, dee p learning, can be partially attributed to the
release of high quality data sets for algorithm s from which to model the world
on. Thus, most of these datasets are comprised of images. We believe that
focusing on sensorimotor systems and tactile feedback will create algorithms
that better mimic human intelligence. Here we present SenseNet: a collection of
tactile simulators and a large scale dataset of 3D objects for manipulation.
SenseNet was created for the purpose of researching and training Artificial
Intelligences (AIs) to interact with the environment via sensorimotor neural
systems and tactile feedback. We aim to accelerate that same explosion in image
processing, but for the domain of tactile feedback and sensorimotor research.
We hope that SenseNet can offer researchers in both the machine learning and
computational neuroscience communities brand new opportunities and avenues to
explore.",,,,http://arxiv.org/abs/1801.00361v1,2017-12-31 21:50:15+00:00,2017-12-31 21:50:15+00:00,cs.AI,"['cs.AI', 'cs.RO']","[arxiv.Result.Link('http://arxiv.org/abs/1801.00361v1', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/1801.00361v1', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/1801.00361v1
Error-Robust Multi-View Clustering,"['Mehrnaz Najafi', 'Lifang He', 'Philip S. Yu']","In the era of big data, data may come from multiple sources, known as
multi-view data. Multi-view clustering aims at generating better clusters by
exploiting complementary and consistent information from multiple views rather
than relying on the individual view. Due to inevitable system errors caused by
data-captured sensors or others, the data in each view may be erroneous.
Various types of errors behave differently and inconsistently in each view.
More precisely, error could exhibit as noise and corruptions in reality.
Unfortunately, none of the existing multi-view clustering approaches handle all
of these error types. Consequently, their clustering performance is
dramatically degraded. In this paper, we propose a novel Markov chain method
for Error-Robust Multi-View Clustering (EMVC). By decomposing each view into a
shared transition probability matrix and error matrix and imposing structured
sparsity-inducing norms on error matrices, we characterize and handle typical
types of errors explicitly. To solve the challenging optimization problem, we
propose a new efficient algorithm based on Augmented Lagrangian Multipliers and
prove its convergence rigorously. Experimental results on various synthetic and
real-world datasets show the superiority of the proposed EMVC method over the
baseline methods and its robustness against different types of errors.","10 pages, 2017 IEEE International Conference on Big Data (Big Data
  2017)",,,http://arxiv.org/abs/1801.00384v1,2018-01-01 02:42:04+00:00,2018-01-01 02:42:04+00:00,cs.LG,['cs.LG'],"[arxiv.Result.Link('http://arxiv.org/abs/1801.00384v1', title=None, rel='alternate', content_type=None), arxiv.Result.Link('http://arxiv.org/pdf/1801.00384v1', title='pdf', rel='related', content_type=None)]",http://arxiv.org/pdf/1801.00384v1
